id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,network_id,participant_id
1,2019-01-26 23:56:27.36028,,,,,,f,,{},source,1,
10,2019-01-27 00:09:36.817788,Diana Pennington,True,,,,t,2019-01-27 00:33:30.53965,{},bystander,1,7
9,2019-01-27 00:09:36.495946,Christopher Smith,True,,,,t,2019-01-27 00:24:22.91177,{},bystander,1,11
5,2019-01-27 00:09:35.195969,Bryce Fields,False,2019-01-27 00:10:52.674304,,,f,,{},bystander,1,1
11,2019-01-27 00:09:49.405717,Kimberly Lyons,True,,,,t,2019-01-27 00:13:06.717542,{},bystander,1,2
8,2019-01-27 00:09:35.648909,Troy Thomas,False,2019-01-27 00:13:32.186304,,,f,,{},bystander,1,3
2,2019-01-27 00:09:34.995405,Ryan Hodges,True,,,,t,2019-01-27 00:38:31.994052,{},mafioso,1,8
6,2019-01-27 00:09:35.309633,Mary Trujillo,True,,,,t,2019-01-27 00:27:40.288865,{},bystander,1,4
12,2019-01-27 00:14:35.75731,Betty Chan,True,,,,t,2019-01-27 00:18:27.918406,{},bystander,1,12
13,2019-01-27 00:14:35.889126,Joseph Stephenson,True,,,,t,2019-01-27 00:22:30.054134,{},bystander,1,10
3,2019-01-27 00:09:35.094636,Natalie Morris,True,,,,t,2019-01-27 00:53:02.545975,{},mafioso,1,9
7,2019-01-27 00:09:35.569025,Christina Rollins,True,,,,t,2019-01-27 00:18:14.836285,{},bystander,1,5
