id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,network_id,participant_id
1,2019-03-13 22:59:06.094976,,,,,,f,,{},source,1,
2,2019-03-13 23:10:04.460059,Sara Bright,True,,,,f,,{},mafioso,1,10
3,2019-03-13 23:10:04.62991,Kevin Hodge,True,,,,f,,{},mafioso,1,8
7,2019-03-13 23:10:05.699768,Christian Atkinson,True,,,,f,,{},bystander,1,9
8,2019-03-13 23:10:05.988693,Carlos Smith,False,2019-03-13 23:11:10.827455,,,f,,{},bystander,1,1
10,2019-03-13 23:10:06.314356,Robert Evans,False,2019-03-13 23:13:51.798706,,,f,,{},bystander,1,4
12,2019-03-13 23:10:07.535126,Terri Brewer,False,2019-03-13 23:15:00.260131,,,f,,{},bystander,1,2
6,2019-03-13 23:10:04.891118,Sandra Robinson,False,2019-03-13 23:17:40.356394,,,f,,{},bystander,1,6
11,2019-03-13 23:10:07.282127,Timothy Cherry,False,2019-03-13 23:18:50.037043,,,f,,{},bystander,1,7
4,2019-03-13 23:10:04.742383,Scott Nelson,False,2019-03-13 23:21:30.014141,,,f,,{},bystander,1,3
9,2019-03-13 23:10:06.092513,Joshua Holland,True,,,,t,2019-03-13 23:24:43.123829,{},bystander,1,5
