id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,network_id,participant_id
1,2019-03-15 22:28:29.89758,,,,,,f,,{},source,1,
3,2019-03-15 22:37:41.434839,Jesse Martin,True,,,,f,,{},mafioso,1,7
11,2019-03-15 22:37:43.073746,Rebecca Patterson,True,,,,f,,{},bystander,1,8
8,2019-03-15 22:37:42.1639,Mary Blake,False,2019-03-15 22:39:07.814434,,,f,,{},bystander,1,11
12,2019-03-15 22:38:05.116471,William Rubio,False,2019-03-15 22:41:48.4335,,,f,,{},bystander,1,9
6,2019-03-15 22:37:41.726932,Mary Reed,False,2019-03-15 22:42:57.274347,,,t,2019-03-15 22:44:27.3297,{},bystander,1,1
2,2019-03-15 22:37:41.304711,Ricky Mcneil,False,2019-03-15 22:45:38.069628,,,f,,{},mafioso,1,10
10,2019-03-15 22:37:42.715694,Kimberly Harrison,False,2019-03-15 22:46:48.11955,,,f,,{},bystander,1,6
5,2019-03-15 22:37:41.612174,Jeffrey Miles,False,2019-03-15 22:49:27.723955,,,f,,{},bystander,1,3
7,2019-03-15 22:37:41.837228,Christopher Drake,False,2019-03-15 22:50:37.411494,,,f,,{},bystander,1,2
4,2019-03-15 22:37:41.528713,Jeremiah Johnson,False,2019-03-15 22:53:17.497624,,,t,2019-03-15 23:29:32.734174,{},bystander,1,5
