id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,network_id,participant_id
1,2019-01-28 18:26:59.631269,,,,,,f,,{},source,1,
5,2019-01-28 18:43:06.397429,Jean Griffin,True,,,,f,,{},bystander,1,10
6,2019-01-28 18:43:06.481562,Gregory Martinez,True,,,,f,,{},bystander,1,2
12,2019-01-28 18:43:07.413808,Jason Davis,True,,,,f,,{},bystander,1,8
13,2019-01-28 18:43:07.903094,Rhonda Morris,True,,,,f,,{},bystander,1,4
8,2019-01-28 18:43:06.588754,Sarah Williams,False,2019-01-28 18:44:17.726439,,,f,,{},bystander,1,5
3,2019-01-28 18:43:06.277284,John Thompson,False,2019-01-28 18:46:58.439302,,,f,,{},mafioso,1,12
9,2019-01-28 18:43:06.902945,Michael Gibson,False,2019-01-28 18:48:06.756609,,,f,,{},bystander,1,6
11,2019-01-28 18:43:07.015308,Jason Frye,False,2019-01-28 18:50:47.794089,,,f,,{},bystander,1,9
14,2019-01-28 18:43:14.0393,Alyssa Reynolds,False,2019-01-28 18:51:57.500714,,,f,,{},bystander,1,3
2,2019-01-28 18:43:05.988994,Cynthia Stokes,False,2019-01-28 18:54:36.807449,,,f,,{},mafioso,1,11
