id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,network_id,participant_id
1,2019-03-13 23:00:27.289153,,,,,,f,,{},source,1,
2,2019-03-13 23:14:56.511026,Anna Lopez,True,,,,f,,{},mafioso,1,8
3,2019-03-13 23:14:56.657175,Kelsey Wallace,True,,,,f,,{},mafioso,1,5
5,2019-03-13 23:14:56.77935,Jacob Lowery,True,,,,f,,{},bystander,1,10
12,2019-03-13 23:14:58.297163,Carla Morris,True,,,,f,,{},bystander,1,6
11,2019-03-13 23:14:57.704529,Andrew Newton,False,2019-03-13 23:16:02.920284,,,f,,{},bystander,1,4
8,2019-03-13 23:14:57.073058,Zachary Jackson,False,2019-03-13 23:18:42.381569,,,f,,{},bystander,1,2
6,2019-03-13 23:14:56.860758,Mr. Robert Bryant,False,2019-03-13 23:19:52.151885,,,f,,{},bystander,1,1
10,2019-03-13 23:14:57.196381,Bianca Nguyen,False,2019-03-13 23:22:32.907407,,,f,,{},bystander,1,3
7,2019-03-13 23:14:56.970837,Denise Acosta,False,2019-03-13 23:26:22.954548,,,f,,{},bystander,1,7
13,2019-03-13 23:14:59.440461,Kayla Rivera,False,2019-03-13 23:27:31.605138,,,f,,{},bystander,1,9
