id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,network_id,participant_id
1,2019-03-12 00:57:43.59646,,,,,,f,,{},source,1,
3,2019-03-12 01:07:39.252915,Timothy Moore,True,,,,f,,{},mafioso,1,7
8,2019-03-12 01:07:39.762946,Laura Baldwin,True,,,,f,,{},bystander,1,1
2,2019-03-12 01:07:38.857573,Daniel Mayer,False,2019-03-12 01:11:27.532811,,,f,,{},mafioso,1,10
11,2019-03-12 01:07:40.699661,Jacob Pearson,False,2019-03-12 01:12:34.856398,,,f,,{},bystander,1,6
12,2019-03-12 01:07:42.043131,Tyrone Mckee,False,2019-03-12 01:15:15.094521,,,f,,{},bystander,1,5
10,2019-03-12 01:07:40.086006,Benjamin Neal,False,2019-03-12 01:16:24.469563,,,f,,{},bystander,1,8
7,2019-03-12 01:07:39.714273,Jennifer Bond,False,2019-03-12 01:19:04.329621,,,f,,{},bystander,1,4
9,2019-03-12 01:07:39.929853,Alexander Ford,False,2019-03-12 01:20:14.509883,,,f,,{},bystander,1,9
6,2019-03-12 01:07:39.33805,David Martinez,False,2019-03-12 01:22:54.328328,,,f,,{},bystander,1,3
