id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,network_id,participant_id
1,2019-03-15 20:29:06.263186,,,,,,f,,{},source,1,
2,2019-03-15 20:46:33.238138,Tiffany Hernandez,True,,,,f,,{},mafioso,1,6
4,2019-03-15 20:46:33.398791,Jamie Meadows,True,,,,f,,{},mafioso,1,3
6,2019-03-15 20:46:33.787281,Robin Green,True,,,,f,,{},bystander,1,9
8,2019-03-15 20:46:34.267727,Tristan Rodriguez,True,,,,f,,{},bystander,1,8
10,2019-03-15 20:46:34.819125,Justin Lee,False,2019-03-15 20:52:28.932414,,,t,2019-03-15 20:46:48.018794,{},bystander,1,4
12,2019-03-15 20:46:35.0185,Lisa Wright,False,2019-03-15 20:53:38.079218,,,f,,{},bystander,1,5
13,2019-03-15 20:46:35.636004,Samuel Rogers,False,2019-03-15 20:56:19.001527,,,f,,{},bystander,1,7
14,2019-03-15 20:48:45.101328,Marvin Jackson,False,2019-03-15 20:57:27.715689,,,f,,{},bystander,1,11
9,2019-03-15 20:46:34.633739,Kevin Vazquez,False,2019-03-15 21:00:08.150222,,,f,,{},bystander,1,2
5,2019-03-15 20:46:33.624028,Nicole Fields,False,2019-03-15 21:01:17.79858,,,f,,{},bystander,1,1
7,2019-03-15 20:46:34.011397,Michelle Guerra,False,2019-03-15 21:03:57.682898,,,f,,{},bystander,1,10
