id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,network_id,participant_id
1,2019-03-15 20:28:58.520624,,,,,,f,,{},source,1,
2,2019-03-15 20:38:59.95861,Dr. Kelli Brooks,True,,,,f,,{},mafioso,1,4
3,2019-03-15 20:39:00.16603,Bob Woods,True,,,,f,,{},mafioso,1,6
4,2019-03-15 20:39:00.326409,Danielle Little,True,,,,f,,{},bystander,1,7
12,2019-03-15 20:39:01.619681,Bryan Castillo,True,,,,f,,{},bystander,1,3
13,2019-03-15 20:39:01.760238,Henry Evans,False,2019-03-15 20:40:07.110648,,,f,,{},bystander,1,10
14,2019-03-15 20:39:03.704131,Matthew Bridges,False,2019-03-15 20:42:48.279832,,,f,,{},bystander,1,9
10,2019-03-15 20:39:00.998367,James Lopez,False,2019-03-15 20:43:56.912163,,,f,,{},bystander,1,1
7,2019-03-15 20:39:00.62801,Ernest Nguyen,False,2019-03-15 20:46:37.156173,,,f,,{},bystander,1,2
9,2019-03-15 20:39:00.812813,Kathryn Reid,False,2019-03-15 20:47:46.197052,,,f,,{},bystander,1,8
6,2019-03-15 20:39:00.444093,Blake Gordon,False,2019-03-15 20:50:26.65156,,,f,,{},bystander,1,5
