id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,network_id,participant_id
1,2019-03-15 17:41:02.061185,,,,,,f,,{},source,1,
2,2019-03-15 17:54:16.834835,Mike Burton,True,,,,f,,{},mafioso,1,8
3,2019-03-15 17:54:16.980848,William Holmes,True,,,,f,,{},mafioso,1,5
13,2019-03-15 17:54:19.066992,Rodney Maynard,True,,,,f,,{},bystander,1,9
14,2019-03-15 17:54:19.896684,Charles Graham,True,,,,f,,{},bystander,1,4
11,2019-03-15 17:54:17.745431,Dillon Goodwin,False,2019-03-15 17:55:23.036489,,,f,,{},bystander,1,3
10,2019-03-15 17:54:17.307136,Sharon Parker,False,2019-03-15 17:58:03.22005,,,f,,{},bystander,1,6
9,2019-03-15 17:54:17.235557,Sandra Reese,False,2019-03-15 17:59:13.29213,,,f,,{},bystander,1,2
5,2019-03-15 17:54:17.07874,Scott Thomas,False,2019-03-15 18:01:53.053016,,,f,,{},bystander,1,10
12,2019-03-15 17:54:18.41117,Judith Sharp,False,2019-03-15 18:03:02.319829,,,f,,{},bystander,1,7
