id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,network_id,participant_id
1,2019-03-11 21:44:43.621423,,,,,,f,,{},source,1,
2,2019-03-11 21:57:19.096026,James Lamb,True,,,,f,,{},mafioso,1,9
3,2019-03-11 21:57:19.338597,Eric Fisher,True,,,,f,,{},mafioso,1,4
12,2019-03-11 21:57:20.208821,Daniel Jones,True,,,,f,,{},bystander,1,6
16,2019-03-11 21:57:22.15191,Dalton Frazier,True,,,,f,,{},bystander,1,1
4,2019-03-11 21:57:19.460664,Clinton Sims,False,2019-03-11 21:58:25.023397,,,f,,{},bystander,1,2
15,2019-03-11 21:57:21.629388,James Martin,False,2019-03-11 22:01:05.43479,,,f,,{},bystander,1,5
8,2019-03-11 21:57:19.698699,Rachael Cunningham,False,2019-03-11 22:02:14.742163,,,f,,{},bystander,1,8
11,2019-03-11 21:57:19.779191,George Le,False,2019-03-11 22:04:54.932307,,,f,,{},bystander,1,7
6,2019-03-11 21:57:19.551177,Lori Solomon,False,2019-03-11 22:06:04.803523,,,f,,{},bystander,1,3
14,2019-03-11 21:57:21.486883,Maxwell Reyes,False,2019-03-11 22:08:44.418747,,,f,,{},bystander,1,10
