id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,network_id,participant_id
1,2019-03-11 23:38:02.203207,,,,,,f,,{},source,1,
2,2019-03-11 23:46:52.316261,Alyssa Washington,True,,,,f,,{},mafioso,1,10
3,2019-03-11 23:46:52.534739,Mary Mullins,True,,,,f,,{},mafioso,1,7
16,2019-03-11 23:46:57.720808,Cassandra Miller,True,,,,f,,{},bystander,1,4
8,2019-03-11 23:46:53.002913,Thomas Davis,False,2019-03-11 23:48:01.035664,,,f,,{},bystander,1,6
14,2019-03-11 23:46:55.887006,Patrick Ellis,False,2019-03-11 23:50:43.071229,,,f,,{},bystander,1,8
10,2019-03-11 23:46:53.528455,John Davis,False,2019-03-11 23:51:51.256702,,,f,,{},bystander,1,9
12,2019-03-11 23:46:55.115563,Ms. Yvette Davis,False,2019-03-11 23:54:31.011207,,,f,,{},bystander,1,1
5,2019-03-11 23:46:52.728931,Brandy Waller,False,2019-03-11 23:55:40.469602,,,f,,{},bystander,1,2
13,2019-03-11 23:46:55.274433,Robert Stewart MD,False,2019-03-11 23:58:20.462445,,,f,,{},bystander,1,3
6,2019-03-11 23:46:52.883805,Charles Wright,True,,,,t,2019-03-12 00:20:58.4937,{},bystander,1,5
