id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,network_id,participant_id
1,2019-03-16 22:57:06.71512,,,,,,f,,{},source,1,
4,2019-03-16 23:12:49.496483,James Smith,True,,,,f,,{},bystander,1,4
11,2019-03-16 23:12:50.004224,Regina Martin,True,,,,f,,{},bystander,1,11
12,2019-03-16 23:12:50.202471,Andrew Price,True,,,,f,,{},bystander,1,1
13,2019-03-16 23:12:50.939636,Steven Brown,True,,,,f,,{},bystander,1,9
14,2019-03-16 23:12:52.272192,Clayton Cook,True,,,,f,,{},bystander,1,2
3,2019-03-16 23:12:49.385132,Alexander Dillon,False,2019-03-16 23:13:55.135539,,,f,,{},mafioso,1,5
10,2019-03-16 23:12:49.9159,Susan Morgan,True,,,,t,2019-03-16 23:15:09.034241,{},bystander,1,6
8,2019-03-16 23:12:49.638351,Ryan Ray,False,2019-03-16 23:16:37.439368,,,f,,{},bystander,1,7
6,2019-03-16 23:12:49.565327,Cathy Lopez,False,2019-03-16 23:17:44.781982,,,f,,{},bystander,1,10
2,2019-03-16 23:12:49.272132,Garrett Baker,False,2019-03-16 23:20:25.173856,,,f,,{},mafioso,1,8
