id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,network_id,participant_id
1,2019-03-15 23:53:18.51513,,,,,,f,,{},source,1,
2,2019-03-16 00:11:10.050207,Christine Peterson,True,,,,f,,{},mafioso,1,10
3,2019-03-16 00:11:10.299093,Louis Webb,True,,,,f,,{},mafioso,1,9
6,2019-03-16 00:11:10.686944,Christina Figueroa,True,,,,f,,{},bystander,1,4
7,2019-03-16 00:11:10.82507,Kevin Pearson,True,,,,f,,{},bystander,1,7
10,2019-03-16 00:11:11.294301,Henry Bowers,False,2019-03-16 00:12:14.431601,,,f,,{},bystander,1,2
8,2019-03-16 00:11:11.090311,Justin Rivas Jr.,False,2019-03-16 00:14:54.395296,,,f,,{},bystander,1,3
5,2019-03-16 00:11:10.562688,Trevor Brown,False,2019-03-16 00:16:03.384969,,,f,,{},bystander,1,5
9,2019-03-16 00:11:11.187579,Abigail Perez,False,2019-03-16 00:18:43.686349,,,f,,{},bystander,1,8
4,2019-03-16 00:11:10.467813,Jordan Vincent,False,2019-03-16 00:19:53.547133,,,f,,{},bystander,1,1
